sample_id,timestamp,data_type,protein_content,fat_content,carbohydrate_content,moisture,ash,ph_level,viscosity,quality_score,lab_technician,product_line
NPTC_0024,2025-09-25 12:22:42.055736,pilot_plant,13.54,3.11,43.37,10.01,2.18,6.21,1134.3,84.1,Alice_Smith,Baby_Formula
NPTC_0025,2025-09-27 15:22:42.055766,analytical,11.83,2.95,47.39,6.17,2.87,7.81,1325.5,76.2,Carol_Davis,Baby_Formula
NPTC_0026,2025-09-30 09:22:42.055796,sensory,15.8,2.93,41.72,8.94,2.7,6.42,831.2,91.1,David_Wilson,Protein_Powder
NPTC_0027,2025-09-24 00:22:42.055837,pilot_plant,12.5,3.8,55.47,8.6,2.68,6.92,1484.5,87.6,Alice_Smith,Baby_Formula
NPTC_0028,2025-09-24 09:22:42.055867,pilot_plant,13.56,3.75,46.15,8.63,2.35,6.41,1291.5,90.3,Bob_Jones,Protein_Powder
NPTC_0029,2025-09-26 16:22:42.055896,analytical,12.44,1.83,40.59,9.69,2.62,6.74,806.6,83.1,Bob_Jones,Baby_Formula
NPTC_0030,2025-09-28 05:22:42.055926,analytical,15.28,2.66,51.61,9.96,2.18,6.47,1302.3,91.9,Alice_Smith,Protein_Powder
NPTC_0031,2025-09-27 22:22:42.055955,analytical,11.32,2.96,43.74,9.28,2.45,7.01,981.5,80.6,Alice_Smith,Beverage_Mix
NPTC_0032,2025-09-25 17:22:42.055984,analytical,5.77,4.13,49.76,8.85,2.71,6.79,1070.5,73.9,Carol_Davis,Baby_Formula
NPTC_0033,2025-09-29 16:22:42.056015,pilot_plant,10.85,2.94,47.86,7.42,1.99,6.99,1299.0,83.6,Alice_Smith,Baby_Formula
NPTC_0034,2025-09-27 01:22:42.056044,analytical,11.49,2.04,38.76,7.24,2.29,7.05,1545.1,81.0,Bob_Jones,Cereal_Bar
NPTC_0035,2025-09-26 02:22:42.056073,analytical,11.35,2.01,53.75,8.67,2.72,7.23,1418.0,84.3,Alice_Smith,Protein_Powder
NPTC_0036,2025-09-23 23:22:42.056108,analytical,14.77,4.29,44.37,8.15,2.59,6.59,1229.2,93.0,David_Wilson,Baby_Formula
NPTC_0037,2025-09-30 11:22:42.056138,analytical,17.05,3.52,43.64,10.33,3.0,8.25,1227.8,76.1,David_Wilson,Protein_Powder
NPTC_0038,2025-09-24 06:22:42.056172,analytical,14.45,2.12,43.01,7.14,1.73,6.11,918.0,89.4,Carol_Davis,Baby_Formula
NPTC_0039,2025-09-30 08:22:42.056201,analytical,12.25,3.72,49.7,8.28,1.78,6.95,1529.9,87.7,Carol_Davis,Baby_Formula
NPTC_0040,2025-09-23 22:22:42.056231,pilot_plant,11.61,3.11,51.99,6.19,2.1,6.8,1259.4,83.4,Carol_Davis,Baby_Formula
NPTC_0041,2025-09-28 17:22:42.056264,pilot_plant,11.02,2.68,41.56,6.98,2.57,6.59,554.4,83.0,Bob_Jones,Beverage_Mix
NPTC_0042,2025-09-23 21:22:42.056293,pilot_plant,11.96,4.02,46.63,6.88,2.27,7.99,1425.6,76.2,Bob_Jones,Protein_Powder
NPTC_0043,2025-09-26 09:22:42.056322,pilot_plant,15.72,4.22,41.46,8.24,2.58,8.17,1423.2,81.5,Alice_Smith,Baby_Formula
NPTC_0044,2025-09-26 00:22:42.056355,analytical,12.29,1.84,45.52,8.56,2.38,5.15,1232.2,80.7,Carol_Davis,Cereal_Bar
NPTC_0046,2025-09-28 22:22:42.056414,analytical,14.65,2.78,41.84,7.97,1.88,6.36,1010.4,92.9,Bob_Jones,Baby_Formula
NPTC_0047,2025-09-29 15:22:42.056446,analytical,16.43,3.04,39.67,8.15,2.49,6.83,1409.9,90.9,David_Wilson,Protein_Powder
NPTC_0048,2025-09-26 00:22:42.056490,analytical,12.64,3.88,40.86,8.13,2.88,6.02,1265.9,85.1,Alice_Smith,Cereal_Bar
NPTC_0049,2025-09-28 00:22:42.056521,pilot_plant,12.13,3.16,40.49,7.31,2.01,6.52,1293.6,85.9,Bob_Jones,Cereal_Bar
NPTC_0050,2025-09-29 17:22:42.056548,pilot_plant,14.32,4.45,48.58,10.6,3.1,5.19,1463.5,78.2,Carol_Davis,Beverage_Mix
NPTC_0051,2025-09-27 12:22:42.056578,pilot_plant,8.34,3.18,42.71,6.59,2.99,6.77,1284.8,75.4,Alice_Smith,Protein_Powder
NPTC_0052,2025-09-27 21:22:42.056605,sensory,14.32,3.6,40.91,8.22,2.78,5.46,1358.7,84.7,David_Wilson,Cereal_Bar
NPTC_0053,2025-09-30 16:22:42.056634,analytical,13.78,2.55,55.03,8.42,2.29,6.91,1402.9,91.7,Bob_Jones,Beverage_Mix
NPTC_0054,2025-09-26 21:22:42.056667,analytical,12.52,2.72,49.6,9.43,2.79,6.22,1736.8,86.7,Alice_Smith,Protein_Powder
NPTC_0055,2025-09-29 08:22:42.056694,analytical,11.38,4.4,43.26,6.61,2.49,7.08,1356.4,78.7,Alice_Smith,Cereal_Bar
NPTC_0056,2025-09-30 05:22:42.056723,pilot_plant,13.89,3.43,56.18,9.15,2.24,7.76,1168.4,83.4,Alice_Smith,Protein_Powder
NPTC_0058,2025-09-29 10:22:42.056780,analytical,15.36,3.71,57.15,8.32,2.52,6.43,1080.0,95.8,Bob_Jones,Protein_Powder
NPTC_0059,2025-09-27 15:22:42.056809,pilot_plant,13.46,3.47,50.99,7.49,2.27,6.02,1161.1,89.6,Carol_Davis,Cereal_Bar
NPTC_0060,2025-09-27 01:22:42.056836,sensory,13.25,4.26,55.8,8.96,3.18,5.86,1113.9,86.1,David_Wilson,Protein_Powder
NPTC_0061,2025-09-26 23:22:42.056865,analytical,12.86,5.31,44.79,8.16,3.29,7.27,1293.4,84.0,Alice_Smith,Protein_Powder
NPTC_0062,2025-09-26 00:22:42.056894,analytical,13.38,2.94,43.45,7.62,2.19,6.42,1440.4,90.3,Alice_Smith,Cereal_Bar
NPTC_0063,2025-09-30 02:22:42.056922,analytical,12.18,2.86,40.74,6.11,2.81,6.86,992.0,80.5,Carol_Davis,Beverage_Mix
NPTC_0064,2025-09-26 01:22:42.056950,pilot_plant,9.91,3.05,47.36,6.67,2.54,6.23,1431.2,80.6,Carol_Davis,Baby_Formula
NPTC_0065,2025-09-29 11:22:42.056978,analytical,10.9,3.07,45.8,8.29,2.06,6.92,1093.5,84.2,Alice_Smith,Baby_Formula
NPTC_0066,2025-09-26 02:22:42.057007,analytical,13.85,4.07,43.83,6.12,2.75,6.99,1613.6,83.3,Bob_Jones,Cereal_Bar
NPTC_0068,2025-09-24 19:22:42.057068,analytical,15.04,3.6,40.53,7.68,2.29,7.45,1061.9,86.2,Alice_Smith,Protein_Powder
NPTC_0069,2025-09-30 14:22:42.057096,analytical,11.19,2.45,37.45,10.22,1.78,6.15,1513.2,76.5,David_Wilson,Protein_Powder
NPTC_0070,2025-09-26 01:22:42.057125,analytical,8.99,3.96,44.0,7.67,2.53,7.03,1257.7,78.1,Bob_Jones,Baby_Formula
NPTC_0071,2025-09-24 10:22:42.057153,analytical,16.81,3.74,42.69,7.6,1.76,6.88,924.1,90.5,David_Wilson,Cereal_Bar
NPTC_0072,2025-09-24 18:22:42.057212,analytical,13.6,2.48,41.25,7.01,2.82,6.72,1709.6,87.4,David_Wilson,Protein_Powder
NPTC_0073,2025-09-23 23:22:42.057265,pilot_plant,11.25,3.22,48.39,7.23,2.49,6.2,1127.7,85.1,Carol_Davis,Beverage_Mix
NPTC_0074,2025-09-27 10:22:42.057306,analytical,9.69,2.44,58.96,8.69,2.49,7.95,1390.1,75.8,Alice_Smith,Cereal_Bar
NPTC_0075,2025-09-26 13:22:42.057350,analytical,14.8,2.64,45.63,10.22,2.09,8.25,1391.6,77.5,Carol_Davis,Baby_Formula
NPTC_0076,2025-09-25 21:22:42.057378,pilot_plant,11.38,2.14,44.67,9.38,2.46,7.45,1373.7,78.5,David_Wilson,Baby_Formula
NPTC_0077,2025-09-27 12:22:42.057409,pilot_plant,13.03,3.79,44.38,8.25,2.24,6.89,999.8,87.6,Alice_Smith,Cereal_Bar
NPTC_0078,2025-09-28 22:22:42.057445,analytical,11.5,3.17,49.21,8.13,2.41,7.55,1146.8,82.9,Alice_Smith,Cereal_Bar
NPTC_0079,2025-09-26 07:22:42.057488,analytical,15.01,2.48,44.87,7.57,3.12,6.96,1456.4,91.8,Carol_Davis,Cereal_Bar
NPTC_0080,2025-09-25 18:22:42.057518,pilot_plant,9.53,3.27,51.13,7.48,3.1,8.64,1177.4,70.8,Alice_Smith,Cereal_Bar
NPTC_0082,2025-09-24 10:22:42.057582,pilot_plant,10.96,2.68,49.81,8.43,2.43,6.99,1435.6,85.3,David_Wilson,Cereal_Bar
NPTC_0083,2025-09-30 10:22:42.057614,sensory,14.78,2.93,48.89,7.5,2.19,6.72,1353.1,93.9,Bob_Jones,Baby_Formula
NPTC_0084,2025-09-25 19:22:42.057644,pilot_plant,14.89,2.9,39.93,9.06,2.92,7.07,1174.7,86.6,Alice_Smith,Baby_Formula
NPTC_0085,2025-09-25 15:22:42.057701,analytical,8.01,2.5,44.9,5.99,2.37,6.65,1275.0,75.1,David_Wilson,Cereal_Bar
NPTC_0086,2025-09-26 22:22:42.057753,sensory,12.96,3.17,54.77,7.48,2.51,6.79,1487.7,90.1,Carol_Davis,Beverage_Mix
NPTC_0087,2025-09-30 06:22:42.057798,pilot_plant,13.59,4.81,47.85,8.87,2.95,6.85,1122.4,87.8,Alice_Smith,Baby_Formula
NPTC_0088,2025-09-24 04:22:42.057837,analytical,11.55,4.01,53.46,7.32,2.64,6.5,1083.3,88.0,Bob_Jones,Protein_Powder
NPTC_0090,2025-09-25 19:22:42.057922,analytical,11.16,2.84,46.77,9.39,1.89,6.91,1110.0,82.0,Bob_Jones,Protein_Powder
NPTC_0091,2025-09-25 20:22:42.057970,pilot_plant,11.38,3.5,53.63,8.02,2.12,8.3,960.4,78.0,Carol_Davis,Beverage_Mix
NPTC_0092,2025-09-23 21:22:42.058009,analytical,8.1,3.57,48.69,7.52,2.22,5.32,1136.7,73.7,Alice_Smith,Cereal_Bar
NPTC_0093,2025-09-27 12:22:42.058062,analytical,12.65,3.02,50.55,7.69,2.65,6.78,1303.9,90.3,Bob_Jones,Beverage_Mix
NPTC_0094,2025-09-28 04:22:42.058164,pilot_plant,12.04,3.61,44.52,10.07,3.15,7.09,934.1,79.0,Alice_Smith,Baby_Formula
NPTC_0095,2025-09-26 13:22:42.058218,sensory,9.59,4.77,55.61,7.64,2.56,6.74,1430.4,82.9,Carol_Davis,Protein_Powder
NPTC_0096,2025-09-24 02:22:42.058259,analytical,15.05,2.7,47.98,8.3,1.94,6.79,1173.4,94.4,David_Wilson,Protein_Powder
NPTC_0097,2025-09-26 09:22:42.058358,analytical,12.92,1.57,44.56,7.28,1.9,6.58,1609.5,89.8,Alice_Smith,Beverage_Mix
NPTC_0098,2025-09-28 05:22:42.058400,pilot_plant,13.78,4.32,50.42,8.17,2.08,7.36,1328.7,88.1,Carol_Davis,Cereal_Bar
NPTC_0099,2025-09-30 07:22:42.058441,analytical,16.73,3.04,56.58,9.51,2.35,8.0,1587.1,83.2,Alice_Smith,Cereal_Bar
NPTC_0101,2025-09-29 19:22:42.058555,analytical,10.81,3.19,38.95,7.53,1.73,6.5,1182.7,83.4,David_Wilson,Beverage_Mix
NPTC_0102,2025-09-25 14:22:42.058591,analytical,13.2,1.95,55.81,7.97,3.29,5.49,1135.4,88.2,Alice_Smith,Protein_Powder
NPTC_0103,2025-09-26 04:22:42.058643,analytical,15.25,3.82,47.81,7.28,2.56,6.57,919.9,93.6,Carol_Davis,Baby_Formula
NPTC_0104,2025-09-23 23:22:42.058680,sensory,29.94,2.65,47.18,6.51,2.94,7.64,1190.9,84.8,Carol_Davis,Cereal_Bar
NPTC_0105,2025-09-29 15:22:42.058795,analytical,12.65,2.17,50.78,7.51,1.62,6.46,1550.2,91.9,Alice_Smith,Cereal_Bar
NPTC_0106,2025-09-24 15:22:42.058842,analytical,14.2,2.94,56.18,8.56,2.62,7.62,1297.8,87.0,Bob_Jones,Baby_Formula
NPTC_0107,2025-09-24 12:22:42.058906,pilot_plant,13.96,3.24,49.46,8.0,2.44,5.2,1433.3,86.6,David_Wilson,Cereal_Bar
NPTC_0108,2025-09-29 09:22:42.058958,pilot_plant,13.19,2.45,49.02,8.43,2.07,7.66,1217.2,85.1,Carol_Davis,Protein_Powder
NPTC_0109,2025-09-30 18:22:42.059012,analytical,12.29,3.18,49.14,7.48,2.59,7.21,1289.7,85.6,David_Wilson,Protein_Powder
NPTC_0110,2025-09-27 18:22:42.059051,analytical,11.98,4.51,40.07,8.46,2.02,6.75,1315.8,83.6,Carol_Davis,Baby_Formula
NPTC_0111,2025-09-27 02:22:42.059085,analytical,13.1,2.57,50.31,7.93,2.22,7.4,1186.1,88.1,Alice_Smith,Beverage_Mix
NPTC_0112,2025-09-26 13:22:42.059118,analytical,14.4,4.14,55.94,9.15,1.32,7.65,1699.2,84.6,Carol_Davis,Beverage_Mix
NPTC_0113,2025-09-30 07:22:42.059150,analytical,14.68,4.43,34.55,7.28,2.43,7.7,1159.2,79.7,David_Wilson,Baby_Formula
NPTC_0114,2025-09-29 22:22:42.059182,analytical,12.46,3.08,37.63,9.33,1.31,7.48,1445.9,77.1,Carol_Davis,Beverage_Mix
NPTC_0115,2025-09-29 16:22:42.059214,sensory,14.02,3.42,46.32,8.02,2.02,6.58,911.4,93.4,David_Wilson,Cereal_Bar
NPTC_0116,2025-09-29 04:22:42.059246,analytical,12.3,2.54,46.62,7.24,3.18,5.95,1262.6,85.4,Carol_Davis,Cereal_Bar
NPTC_0117,2025-09-25 21:22:42.059278,analytical,12.82,2.45,52.79,8.01,2.11,6.85,1344.4,91.4,David_Wilson,Baby_Formula
NPTC_0118,2025-09-27 00:22:42.059311,pilot_plant,12.78,3.66,51.6,7.54,1.86,6.94,1303.1,88.5,Bob_Jones,Beverage_Mix
NPTC_0119,2025-09-24 02:22:42.059343,analytical,11.91,4.2,42.43,8.43,1.98,8.52,1012.5,72.9,Alice_Smith,Protein_Powder
NPTC_0120,2025-09-24 10:22:42.059376,sensory,13.12,3.24,45.06,9.26,3.51,6.35,976.0,87.1,Carol_Davis,Cereal_Bar
NPTC_0121,2025-09-26 18:22:42.059409,analytical,10.89,4.51,54.19,7.44,2.68,8.1,1174.2,76.0,Alice_Smith,Beverage_Mix
NPTC_0122,2025-09-24 03:22:42.059489,analytical,12.09,2.05,39.69,6.87,3.44,7.19,1443.1,80.5,Bob_Jones,Beverage_Mix
NPTC_0123,2025-09-28 23:22:42.059554,analytical,13.43,4.89,39.94,6.62,2.75,8.36,1197.9,72.6,Alice_Smith,Baby_Formula
NPTC_0125,2025-09-30 03:22:42.059645,analytical,10.32,2.95,51.87,8.27,3.56,7.11,1288.4,83.5,David_Wilson,Protein_Powder
NPTC_0126,2025-09-24 12:22:42.059753,sensory,11.88,2.65,39.93,6.26,1.8,6.85,927.8,80.2,Bob_Jones,Cereal_Bar
NPTC_0127,2025-09-24 05:22:42.059807,pilot_plant,13.4,2.78,54.25,10.37,2.41,4.83,1427.3,76.4,Bob_Jones,Protein_Powder
NPTC_0128,2025-09-29 23:22:42.059845,analytical,7.91,3.65,48.8,7.49,2.28,5.85,1179.4,76.7,Bob_Jones,Baby_Formula
NPTC_0129,2025-09-29 18:22:42.059890,analytical,11.06,5.3,50.36,6.18,2.14,7.55,1090.1,75.7,Alice_Smith,Beverage_Mix
NPTC_0130,2025-09-24 03:22:42.059955,analytical,13.2,2.87,47.31,8.89,2.47,6.5,1376.5,90.5,Bob_Jones,Protein_Powder
NPTC_0131,2025-09-27 11:22:42.060000,pilot_plant,10.57,3.53,42.36,8.02,2.12,6.47,1176.6,85.2,Alice_Smith,Beverage_Mix
NPTC_0132,2025-09-28 04:22:42.060036,pilot_plant,11.09,2.18,48.93,7.22,2.05,7.19,1044.4,83.2,Carol_Davis,Protein_Powder
NPTC_0134,2025-09-28 15:22:42.060111,analytical,10.41,2.02,46.72,8.08,2.69,6.9,1055.4,85.1,Alice_Smith,Protein_Powder
NPTC_0135,2025-09-25 09:22:42.060142,analytical,13.96,2.21,48.01,9.55,2.25,7.62,1308.3,83.4,Alice_Smith,Baby_Formula
NPTC_0136,2025-09-27 04:22:42.060183,analytical,11.04,3.13,50.41,9.79,3.01,7.02,1409.9,80.9,Carol_Davis,Baby_Formula
NPTC_0137,2025-09-25 00:22:42.060239,sensory,12.68,4.58,44.66,8.21,2.52,6.44,1089.5,88.7,Carol_Davis,Cereal_Bar
NPTC_0138,2025-09-27 10:22:42.060277,analytical,15.1,2.71,51.77,9.59,1.3,6.16,1221.1,90.9,David_Wilson,Beverage_Mix
NPTC_0139,2025-09-24 23:22:42.060315,analytical,39.94,4.4,44.19,7.8,3.06,7.24,1341.2,88.8,Bob_Jones,Protein_Powder
NPTC_0140,2025-09-28 08:22:42.060351,analytical,16.83,3.87,45.66,10.94,2.61,6.98,1068.3,83.3,Bob_Jones,Baby_Formula
NPTC_0141,2025-09-30 01:22:42.060402,pilot_plant,11.48,2.59,46.85,8.71,2.24,6.8,1399.2,85.6,Bob_Jones,Baby_Formula
NPTC_0142,2025-09-30 06:22:42.060472,analytical,11.78,2.17,46.97,7.92,2.22,6.14,1431.9,88.1,Alice_Smith,Baby_Formula
NPTC_0143,2025-09-25 21:22:42.060511,analytical,14.13,3.66,45.95,6.31,2.65,7.38,1710.1,83.0,Alice_Smith,Protein_Powder
NPTC_0144,2025-09-30 14:22:42.060550,pilot_plant,14.65,3.46,50.3,7.35,2.64,6.6,1246.1,94.1,David_Wilson,Beverage_Mix
NPTC_0145,2025-09-25 02:22:42.060585,analytical,12.99,3.04,39.33,9.39,2.78,7.27,1558.9,80.1,Bob_Jones,Protein_Powder
NPTC_0146,2025-09-28 11:22:42.060615,analytical,14.39,2.57,49.04,7.95,2.61,6.09,1162.5,93.6,Bob_Jones,Beverage_Mix
NPTC_0147,2025-09-27 20:22:42.060645,analytical,15.63,2.2,42.41,8.91,2.6,6.1,1166.8,89.9,Bob_Jones,Cereal_Bar
NPTC_0149,2025-09-24 17:22:42.060738,analytical,10.52,3.51,51.14,9.12,2.44,7.85,1069.1,76.1,Alice_Smith,Cereal_Bar
NPTC_0150,2025-09-28 20:22:42.060772,analytical,11.89,3.69,49.29,7.01,2.93,7.16,1033.7,83.3,Bob_Jones,Cereal_Bar
NPTC_0151,2025-09-24 16:22:42.060806,analytical,11.76,4.07,55.22,9.95,2.16,5.9,1278.2,80.6,Bob_Jones,Protein_Powder
NPTC_0152,2025-09-28 10:22:42.060836,analytical,8.96,3.61,43.14,6.7,0.96,6.78,1604.5,76.7,Alice_Smith,Protein_Powder
NPTC_0153,2025-09-24 19:22:42.060867,pilot_plant,11.57,2.92,49.44,7.89,2.24,6.79,1427.3,88.5,Bob_Jones,Baby_Formula
NPTC_0154,2025-09-24 03:22:42.060898,pilot_plant,11.11,2.78,45.73,8.22,1.83,5.39,1044.7,80.4,David_Wilson,Beverage_Mix
NPTC_0155,2025-09-24 16:22:42.060927,analytical,13.9,3.28,45.25,7.38,2.84,6.06,1027.9,88.7,Alice_Smith,Beverage_Mix
NPTC_0156,2025-09-30 02:22:42.060973,pilot_plant,13.63,2.54,44.98,8.66,3.36,7.61,793.2,84.0,Bob_Jones,Protein_Powder
NPTC_0157,2025-09-27 15:22:42.061028,analytical,12.03,4.12,47.82,7.04,2.3,6.69,1225.4,86.0,David_Wilson,Protein_Powder
NPTC_0158,2025-09-24 20:22:42.061061,analytical,14.74,3.05,52.67,7.32,2.0,6.41,1059.3,94.6,Alice_Smith,Cereal_Bar
NPTC_0159,2025-09-24 16:22:42.061096,analytical,11.92,1.95,50.22,8.01,2.31,9.35,1309.8,73.3,Carol_Davis,Beverage_Mix
NPTC_0160,2025-09-29 01:22:42.061127,analytical,11.0,4.22,42.26,6.97,1.84,5.89,1357.1,78.6,Bob_Jones,Beverage_Mix
NPTC_0161,2025-09-24 03:22:42.061157,pilot_plant,13.26,2.31,49.74,7.77,2.41,5.77,1164.7,89.2,Carol_Davis,Baby_Formula
NPTC_0162,2025-09-29 22:22:42.061186,pilot_plant,12.68,4.85,40.46,8.13,3.11,6.74,1340.5,85.9,Bob_Jones,Beverage_Mix
NPTC_0163,2025-09-28 07:22:42.061216,analytical,10.78,3.49,42.78,8.43,2.14,5.79,1346.8,80.0,Carol_Davis,Protein_Powder
NPTC_0164,2025-09-29 22:22:42.061250,analytical,12.03,3.07,52.33,7.99,1.28,6.4,1448.5,91.1,Bob_Jones,Protein_Powder
NPTC_0165,2025-09-26 07:22:42.061280,analytical,11.3,4.51,47.05,8.61,2.62,5.83,1638.8,81.7,Carol_Davis,Cereal_Bar
NPTC_0166,2025-09-24 15:22:42.061308,analytical,9.25,2.48,47.42,6.69,2.99,6.43,1290.2,81.2,David_Wilson,Cereal_Bar
NPTC_0167,2025-09-29 04:22:42.061338,pilot_plant,14.24,2.12,46.43,10.43,1.9,6.26,1352.8,86.6,David_Wilson,Baby_Formula
NPTC_0168,2025-09-29 08:22:42.061368,analytical,12.86,3.43,49.53,7.64,1.83,5.75,1134.1,86.9,Carol_Davis,Protein_Powder
NPTC_0169,2025-09-25 18:22:42.061395,analytical,11.74,3.19,43.77,8.02,2.67,7.51,1450.6,81.8,Carol_Davis,Beverage_Mix
NPTC_0170,2025-09-27 13:22:42.061425,pilot_plant,16.61,3.47,42.57,7.01,2.45,5.29,1190.7,83.4,David_Wilson,Cereal_Bar
NPTC_0171,2025-09-25 02:22:42.061454,pilot_plant,14.4,4.57,45.28,7.9,2.44,7.73,1064.5,85.0,Alice_Smith,Protein_Powder
NPTC_0172,2025-09-26 10:22:42.061483,analytical,12.98,3.35,50.81,4.86,2.74,6.28,883.9,82.5,David_Wilson,Baby_Formula
NPTC_0173,2025-09-26 10:22:42.061514,analytical,15.36,2.98,52.81,9.43,2.22,6.4,1070.8,92.8,Carol_Davis,Protein_Powder
NPTC_0174,2025-09-29 08:22:42.061543,analytical,10.64,3.12,44.88,7.57,1.3,6.62,836.4,84.8,David_Wilson,Beverage_Mix
NPTC_0175,2025-09-28 13:22:42.061574,sensory,14.43,5.09,47.29,8.45,2.25,5.36,959.9,85.0,Alice_Smith,Beverage_Mix
NPTC_0176,2025-09-30 08:22:42.061604,analytical,11.87,3.37,42.04,7.72,2.0,7.66,1254.3,79.4,Carol_Davis,Baby_Formula
NPTC_0177,2025-09-30 11:22:42.061632,pilot_plant,15.46,2.63,47.52,9.02,2.82,5.87,1460.4,89.7,Bob_Jones,Cereal_Bar
NPTC_0178,2025-09-24 07:22:42.061662,analytical,10.54,3.85,48.48,9.08,1.8,7.27,1467.1,79.2,Alice_Smith,Baby_Formula
NPTC_0180,2025-09-28 22:22:42.061733,analytical,14.33,3.51,48.98,8.17,2.03,5.44,1120.9,88.1,Alice_Smith,Baby_Formula
NPTC_0181,2025-09-27 18:22:42.061783,analytical,11.36,3.69,52.48,7.93,2.32,6.28,1190.8,88.3,Bob_Jones,Protein_Powder
NPTC_0182,2025-09-28 19:22:42.061828,analytical,14.67,4.31,44.55,8.45,2.53,6.69,1412.2,91.3,Carol_Davis,Baby_Formula
NPTC_0183,2025-09-24 17:22:42.061864,pilot_plant,12.34,2.92,52.79,11.8,2.62,5.98,1219.1,77.6,Carol_Davis,Cereal_Bar
NPTC_0184,2025-09-28 02:22:42.061902,analytical,13.36,3.08,42.23,9.43,1.81,5.5,1504.5,80.3,Alice_Smith,Baby_Formula
NPTC_0185,2025-09-29 06:22:42.061938,sensory,12.56,3.53,36.96,6.36,1.98,6.45,1030.8,82.0,Alice_Smith,Cereal_Bar
NPTC_0186,2025-09-28 18:22:42.061971,analytical,12.43,3.39,50.32,6.25,1.66,7.22,842.2,82.2,Alice_Smith,Protein_Powder
NPTC_0187,2025-09-25 00:22:42.062003,analytical,13.81,2.81,51.11,7.54,1.97,7.25,1656.7,89.2,Carol_Davis,Baby_Formula
NPTC_0188,2025-09-27 09:22:42.062048,pilot_plant,12.67,2.34,47.0,10.59,1.94,4.78,1192.8,73.1,Alice_Smith,Beverage_Mix
